"latitude","longitude","Incidents","country_name"
-40.900557,174.885971,20,"New Zealand"
-38.416097,-63.616672,815,"Argentina"
-35.675147,-71.542969,2365,"Chile"
-32.522779,-55.765835,82,"Uruguay"
-30.559482,22.937506,2016,"South Africa"
-29.609988,28.233608,29,"Lesotho"
-26.522503,31.465866,16,"Swaziland"
-25.274398,133.775136,114,"Australia"
-23.442503,-58.443832,114,"Paraguay"
-22.95764,18.49041,151,"Namibia"
-22.328474,24.684866,10,"Botswana"
-20.904305,165.618042,31,"New Caledonia"
-20.348404,57.552152,2,"Mauritius"
-19.015438,29.154857,184,"Zimbabwe"
-18.766947,46.869107,27,"Madagascar"
-18.665695,35.529562,363,"Mozambique"
-17.679742,-149.406843,3,"French Polynesia"
-16.578193,179.414413,17,"Fiji"
-16.290154,-63.588653,314,"Bolivia"
-15.376706,166.959158,2,"Vanuatu"
-14.235004,-51.92528,273,"Brazil"
-13.254308,34.301525,5,"Malawi"
-13.133897,27.849332,62,"Zambia"
-11.875001,43.872219,5,"Comoros"
-11.202692,17.873887,499,"Angola"
-9.64571,160.156194,4,"Solomon Islands"
-9.189967,-75.015152,6096,"Peru"
-6.369028,34.888822,59,"United Republic of Tanzania"
-6.314993,143.95555,89,"Papua New Guinea"
-4.679574,55.491977,2,"Seychelles"
-3.373056,29.918886,613,"Burundi"
-1.940278,29.873888,159,"Rwanda"
-1.831239,-78.183406,220,"Ecuador"
-0.803689,11.609444,8,"Gabon"
-0.789275,113.921327,761,"Indonesia"
-0.228021,15.827659,865,"Democratic Republic of the Congo"
-0.023559,37.906193,683,"Kenya"
1.352083,103.819836,7,"Singapore"
1.373333,32.290275,394,"Uganda"
1.650801,10.267895,2,"Equatorial Guinea"
3.202778,73.22068,22,"Maldives"
3.919305,-56.027783,66,"Suriname"
3.933889,-53.125782,7,"French Guiana"
4.210484,101.975766,99,"Malaysia"
4.535277,114.727669,6,"Brunei Darussalam"
4.570868,-74.297333,8306,"Colombia"
4.860416,-58.93018,26,"Guyana"
5.152149,46.199616,4142,"Somalia"
6.42375,-66.58973,293,"Venezuela"
6.428055,-9.429499,34,"Liberia"
6.611111,20.939444,283,"Central African Republic"
7.369722,12.354722,332,"Cameroon"
7.873054,80.771797,3022,"Sri Lanka"
7.946527,-1.023194,19,"Ghana"
8.460555,-11.779889,101,"Sierra Leone"
8.537981,-80.782127,127,"Panama"
8.619543,0.824782,48,"Togo"
9.081999,8.675277,3907,"Nigeria"
9.145,40.489673,190,"Ethiopia"
9.30769,2.315834,8,"Benin"
9.748917,-83.753428,67,"Costa Rica"
9.945587,-9.696645,25,"Guinea"
10.691803,-61.222503,22,"Trinidad and Tobago"
11.803749,-15.180413,9,"Guinea-Bissau"
11.825138,42.590275,22,"Djibouti"
12.238333,-1.561593,52,"Burkina Faso"
12.262776,-61.604171,5,"Grenada"
12.565679,104.990963,259,"Cambodia"
12.862807,30.217636,1192,"Sudan"
12.865416,-85.207229,1970,"Nicaragua"
12.879721,121.774017,6908,"Philippines"
13.193887,-59.543198,3,"Barbados"
13.443182,-15.310139,3,"Gambia"
13.794185,-88.89653,5320,"El Salvador"
14.058324,108.277199,13,"Viet Nam"
14.497401,-14.452362,118,"Senegal"
14.641528,-61.024174,12,"Martinique"
15.179384,39.782334,10,"Eritrea"
15.199999,-86.241905,323,"Honduras"
15.414999,-61.370976,3,"Dominica"
15.454166,18.732207,91,"Chad"
15.552727,48.516388,3349,"Yemen"
15.783471,-90.230759,2050,"Guatemala"
15.870032,100.992541,3849,"Thailand"
16.995971,-62.067641,56,"Guadeloupe"
17.189877,-88.49765,8,"Belize"
17.357822,-62.782998,2,"Saint Kitts and Nevis"
17.570692,-3.996166,566,"Mali"
17.607789,8.081666,154,"Niger"
18.109581,-77.297508,36,"Jamaica"
18.735693,-70.162651,90,"Dominican Republic"
18.971187,-72.285215,213,"Haiti"
19.85627,102.495496,27,"Lao People's Democratic Republic"
20.59368,78.96288,11960,"India"
21.00789,-10.940835,18,"Mauritania"
21.521757,-77.781167,30,"Cuba"
21.913965,95.956223,546,"Burma"
22.198745,113.543873,33,"Macau"
22.396428,114.109497,26,"Hong Kong"
23.424076,53.847818,22,"United Arab Emirates"
23.634501,-102.552784,524,"Mexico"
23.684994,90.356331,1648,"Bangladesh"
23.69781,120.960515,50,"Taiwan"
23.885942,45.079162,371,"Saudi Arabia"
24.215527,-12.885834,5,"Western Sahara"
25.03428,-77.39628,5,"Bahamas"
25.354826,51.183884,7,"Qatar"
25.930414,50.637772,207,"Bahrain"
26.3351,17.228331,2249,"Libyan Arab Jamahiriya"
26.820553,30.802498,2479,"Egypt"
27.514162,90.433601,6,"Bhutan"
28.033886,1.659626,2743,"Algeria"
28.394857,84.124008,1215,"Nepal"
29.31166,47.481766,76,"Kuwait"
30.375321,69.345116,14368,"Pakistan"
30.585164,36.238414,113,"Jordan"
31.046051,34.851612,2183,"Israel"
31.354676,34.308825,2227,"Palestine"
31.791702,-7.09262,36,"Morocco"
32.427908,53.688046,684,"Iran (Islamic Republic of)"
33.223191,43.679291,24636,"Iraq"
33.854721,35.862285,2478,"Lebanon"
33.886917,9.537499,109,"Tunisia"
33.93911,67.709953,12731,"Afghanistan"
34.802075,38.996815,2201,"Syrian Arab Republic"
35.126413,33.429859,132,"Cyprus"
35.86166,104.195397,252,"China"
35.937496,14.375416,23,"Malta"
36.204824,138.252924,402,"Japan"
37.09024,-95.712891,2836,"United States"
38.861034,71.276093,188,"Tajikistan"
38.963745,35.243322,4292,"Turkey"
38.969719,59.556278,2,"Turkmenistan"
39.074208,21.824312,1275,"Greece"
39.399872,-8.224454,140,"Portugal"
40.069099,45.038189,24,"Armenia"
40.143105,47.576927,49,"Azerbaijan"
40.339852,127.510093,39,"Korea, Democratic People's Republic of"
40.463667,-3.74922,3249,"Spain"
41.153332,20.168331,80,"Albania"
41.20438,74.766098,35,"Kyrgyzstan"
41.377491,64.585262,21,"Uzbekistan"
41.608635,21.745275,277,"The former Yugoslav Republic of Macedonia"
41.87194,12.56738,1565,"Italy"
41.902916,12.453389,1,"Italy"
42.315407,43.356892,217,"Georgia"
42.602636,20.902977,196,"Serbia"
42.708678,19.37439,5,"Montenegro"
