"targtype1_txt","country_name","Freq"
"Business","Afghanistan",464
"Business","Albania",6
"Business","Algeria",180
"Business","Andorra",1
"Business","Angola",48
"Business","Argentina",237
"Business","Armenia",3
"Business","Australia",20
"Business","Austria",20
"Business","Azerbaijan",2
"Business","Bahrain",33
"Business","Bangladesh",89
"Business","Belgium",37
"Business","Belize",1
"Business","Benin",1
"Business","Bhutan",1
"Business","Bolivia",39
"Business","Botswana",2
"Business","Brazil",61
"Business","Brunei Darussalam",1
"Business","Bulgaria",9
"Business","Burkina Faso",6
"Business","Burma",52
"Business","Burundi",46
"Business","Cambodia",17
"Business","Cameroon",12
"Business","Canada",11
"Business","Central African Republic",6
"Business","Chad",5
"Business","Chile",503
"Business","China",31
"Business","Colombia",1340
"Business","Costa Rica",9
"Business","Croatia",5
"Business","Cuba",13
"Business","Cyprus",24
"Business","Czech Republic",7
"Business","Democratic Republic of the Congo",25
"Business","Denmark",9
"Business","Djibouti",4
"Business","Dominican Republic",12
"Business","Ecuador",30
"Business","Egypt",141
"Business","El Salvador",584
"Business","Eritrea",1
"Business","Estonia",1
"Business","Ethiopia",40
"Business","Fiji",5
"Business","France",789
"Business","Gabon",1
"Business","Georgia",8
"Business","Germany",271
"Business","Greece",399
"Business","Guadeloupe",16
"Business","Guatemala",240
"Business","Guyana",2
"Business","Haiti",22
"Business","Honduras",57
"Business","Hong Kong",7
"Business","Hungary",24
"Business","India",1131
"Business","Indonesia",95
"Business","Iran (Islamic Republic of)",75
"Business","Iraq",2112
"Business","Ireland",66
"Business","Israel",179
"Business","Italy",444
"Business","Jamaica",2
"Business","Japan",41
"Business","Jordan",20
"Business","Kazakhstan",4
"Business","Kenya",77
"Business","Korea, Democratic People's Republic of",3
"Business","Kuwait",18
"Business","Kyrgyzstan",4
"Business","Lao People's Democratic Republic",5
"Business","Latvia",3
"Business","Lebanon",225
"Business","Lesotho",7
"Business","Liberia",6
"Business","Libyan Arab Jamahiriya",192
"Business","Lithuania",2
"Business","Luxembourg",5
"Business","Macau",14
"Business","Madagascar",4
"Business","Malaysia",12
"Business","Mali",13
"Business","Malta",5
"Business","Martinique",1
"Business","Mauritania",2
"Business","Mexico",113
"Business","Morocco",10
"Business","Mozambique",40
"Business","Namibia",26
"Business","Nepal",90
"Business","Netherlands",33
"Business","New Caledonia",7
"Business","New Zealand",2
"Business","Nicaragua",203
"Business","Niger",5
"Business","Nigeria",282
"Business","Norway",1
"Business","Pakistan",1165
"Business","Palestine",84
"Business","Panama",29
"Business","Papua New Guinea",12
"Business","Paraguay",30
"Business","Peru",1164
"Business","Philippines",976
"Business","Poland",11
"Business","Portugal",25
"Business","Republic of Moldova",1
"Business","Romania",1
"Business","Russia",199
"Business","Rwanda",14
"Business","Saudi Arabia",23
"Business","Senegal",6
"Business","Serbia",21
"Business","Sierra Leone",10
"Business","Singapore",1
"Business","Slovenia",1
"Business","Somalia",186
"Business","South Africa",216
"Business","Spain",1018
"Business","Sri Lanka",183
"Business","Sudan",53
"Business","Suriname",12
"Business","Sweden",10
"Business","Switzerland",23
"Business","Syrian Arab Republic",94
"Business","Taiwan",6
"Business","Tajikistan",13
"Business","Thailand",566
"Business","The former Yugoslav Republic of Macedonia",15
"Business","Togo",6
"Business","Trinidad and Tobago",2
"Business","Tunisia",6
"Business","Turkey",636
"Business","Uganda",51
"Business","Ukraine",94
"Business","United Arab Emirates",5
"Business","United Kingdom",891
"Business","United Republic of Tanzania",4
"Business","United States",781
"Business","Uruguay",23
"Business","Uzbekistan",1
"Business","Venezuela",53
"Business","Viet Nam",2
"Business","Yemen",125
"Business","Zambia",5
"Business","Zimbabwe",28
"Civilians","Afghanistan",2630
"Civilians","Albania",11
"Civilians","Algeria",921
"Civilians","Angola",138
"Civilians","Argentina",114
"Civilians","Armenia",6
"Civilians","Australia",14
"Civilians","Austria",31
"Civilians","Azerbaijan",10
"Civilians","Bahamas",1
"Civilians","Bahrain",42
"Civilians","Bangladesh",418
"Civilians","Barbados",1
"Civilians","Belarus",3
"Civilians","Belgium",13
"Civilians","Belize",1
"Civilians","Bhutan",3
"Civilians","Bolivia",51
"Civilians","Botswana",6
"Civilians","Brazil",47
"Civilians","Bulgaria",6
"Civilians","Burkina Faso",10
