"Incidents","year"
619,1970
454,1971
543,1972
445,1973
550,1974
705,1975
873,1976
1276,1977
1503,1978
2645,1979
2640,1980
2552,1981
2514,1982
2862,1983
3472,1984
2858,1985
2811,1986
3163,1987
3702,1988
4288,1989
3833,1990
4637,1991
5053,1992
3452,1994
3068,1995
3035,1996
3154,1997
886,1998
1371,1999
1793,2000
1885,2001
1328,2002
1270,2003
1164,2004
2013,2005
2753,2006
3239,2007
4804,2008
4721,2009
4819,2010
5073,2011
8506,2012
12032,2013
16902,2014
14961,2015
13585,2016
10887,2017
