"weaptype1_txt","country_name","Freq"
"Biological","Chile",1
"Biological","Israel",1
"Biological","Japan",2
"Biological","Kenya",3
"Biological","Pakistan",2
"Biological","United Kingdom",2
"Biological","United States",24
"Chemical","Afghanistan",58
"Chemical","Albania",1
"Chemical","Angola",1
"Chemical","Argentina",2
"Chemical","Australia",3
"Chemical","Austria",1
"Chemical","Belgium",9
"Chemical","Brazil",1
"Chemical","Bulgaria",2
"Chemical","Cambodia",2
"Chemical","Canada",3
"Chemical","Chile",4
"Chemical","China",3
"Chemical","Colombia",12
"Chemical","Czech Republic",3
"Chemical","Denmark",1
"Chemical","El Salvador",1
"Chemical","France",4
"Chemical","Germany",8
"Chemical","Honduras",1
"Chemical","Hong Kong",1
"Chemical","India",12
"Chemical","Indonesia",2
"Chemical","Iraq",47
"Chemical","Israel",6
"Chemical","Italy",4
"Chemical","Japan",12
"Chemical","Jordan",1
"Chemical","Lebanon",1
"Chemical","Libyan Arab Jamahiriya",1
"Chemical","Madagascar",1
"Chemical","Mexico",1
"Chemical","Namibia",1
"Chemical","Nepal",2
"Chemical","Netherlands",1
"Chemical","New Zealand",8
"Chemical","Nigeria",3
"Chemical","Pakistan",7
"Chemical","Palestine",5
"Chemical","Peru",3
"Chemical","Philippines",2
"Chemical","Russia",5
"Chemical","Somalia",1
"Chemical","South Africa",1
"Chemical","Sri Lanka",4
"Chemical","Sweden",2
"Chemical","Syrian Arab Republic",8
"Chemical","Taiwan",1
"Chemical","Tajikistan",2
"Chemical","Thailand",1
"Chemical","Turkey",2
"Chemical","Uganda",1
"Chemical","Ukraine",1
"Chemical","United Kingdom",9
"Chemical","United Republic of Tanzania",2
"Chemical","United States",22
"Chemical","Venezuela",4
"Chemical","Viet Nam",4
"Chemical","Yemen",1
"Chemical","Zimbabwe",1
"Explosives","Afghanistan",6777
"Explosives","Albania",51
"Explosives","Algeria",1102
"Explosives","Angola",255
"Explosives","Argentina",492
"Explosives","Armenia",11
"Explosives","Australia",43
"Explosives","Austria",59
"Explosives","Azerbaijan",20
"Explosives","Bahamas",2
"Explosives","Bahrain",122
"Explosives","Bangladesh",836
"Explosives","Barbados",2
"Explosives","Belarus",8
"Explosives","Belgium",71
"Explosives","Belize",1
"Explosives","Benin",4
"Explosives","Bhutan",5
"Explosives","Bolivia",244
"Explosives","Botswana",9
"Explosives","Brazil",72
"Explosives","Brunei Darussalam",6
